Well;Depth;Por;Perm;Fasies_enc;Fasies;HFU;GR;NPHI;RHOB;ILD;PROX;PHIE;SWE
JTB-047;2425.2936;0.0436;0.02;2;LITHIC;9;159.8818;0.169437;2452.768;6.8167;19.4682;0.1346109;0.966523
JTB-047;2425.5984;0.0557;0.08;2;LITHIC;10;145.3258;0.173898;2423.823;6.7381;21.6627;0.1456507;0.899416
JTB-048;2001.5456;0.1649;0.14;2;LITHIC;7;193.9869;0.26526;2367.8;4.0185;12.828;0.1955632;0.837456
JTB-048;2001.698;0.1649;0.14;2;LITHIC;7;193.9899;0.25604;2371.3;4.0252;7.246;0.1993099;0.823007
JTB-051;2196.6374;0.0486;2.883;3;LAVA;14;85.0744;0.1561;2483.1;4.4219;3.498;0.1155534;1
JTB-051;2198.6186;0.0168;0.748;3;LAVA;16;68.1702;0.1717;2543.1;4.2936;4.34;0.0917144;1
JTB-158;2142.33;0.025;0.1;3;LAVA;12;60.4256;0.1646;2621.2;15.506;38.277;0.0460696;1
JTB-158;2142.66;0.022;0.1;3;LAVA;13;63.0679;0.1531;2616.9;14.86;25.89;0.0471552;1
JTB-158;2143.3;0.05;0.1;1;CRYSTAL;10;63.4596;0.129;2500.1;10.524;21.942;0.104344;0.786726
JTB-158;2144.33;0.219;0.3;1;CRYSTAL;7;62.6526;0.1239;2447.2;6.02;7.38;0.1438913;0.845888
JTB-158;2144.66;0.135;0.3;1;CRYSTAL;8;66.7527;0.126;2516.5;5.935;6.936;0.1177747;0.999992
JTB-158;2145;0.121;0.1;2;LITHIC;7;65.2133;0.1285;2565.1;5.66;8.937;0.1023982;0.99999
JTB-158;2145.33;0.119;1.4;2;LITHIC;10;61.7722;0.1269;2495;4.292;9.153;0.1277754;0.999992
JTB-158;2145.6;0.136;0.2;2;LITHIC;8;61.2706;0.1312;2441.2;3.566;4.714;0.1594062;0.999994
JTB-158;2146;0.119;0.5;2;LITHIC;9;61.2244;0.1319;2418;2.616;2.599;0.1838275;0.984838
JTB-182;2063.2;0.024;0.1;3;LAVA;13;21.5016;0.142;2488;37.8358;50.374;0.0303278;1
JTB-182;2063.5;0.027;0.1;3;LAVA;12;22.9941;0.1385;2495.4;35.4896;37.697;0.031796;1
JTB-182;2063.8;0.016;0.1;3;LAVA;14;22.4114;0.1389;2508.9;33.3153;30.928;0.0315729;1
JTB-182;2064.1;0.02;0.1;3;LAVA;13;24.8202;0.1361;2499.4;32.6858;26.433;0.0345036;1
JTB-182;2065;0.019;0.1;3;LAVA;13;19.2862;0.1456;2479.9;52.7533;78.956;0.0274484;1
JTB-182;2065.3;0.011;0.1;3;LAVA;15;18.2696;0.1537;2479.8;59.7942;79.122;0.0263612;1
JTB-182;2066.2;0.022;0.1;3;LAVA;13;21.0782;0.1543;2478.9;71.0724;75.376;0.0266395;1
JTB-182;2067.1;0.037;0.1;3;LAVA;11;19.7766;0.155;2479.2;64.1543;70.02;0.0261352;1
JTB-182;2068;0.036;0.1;3;LAVA;11;22.0159;0.1392;2473.9;53.8201;74.35;0.0275753;1
JTB-182;2068.3;0.042;0.1;3;LAVA;11;20.6408;0.1375;2464.5;50.0415;79.187;0.0311351;1
JTB-182;2068.6;0.029;0.1;3;LAVA;12;22.2528;0.1372;2475.6;47;78.75;0.0315902;1
JTB-182;2120;0.262;0.18;2;LITHIC;5;102.2893;0.2724;2099.6;1.2074;5.379;0.3060748;0.830385
JTB-182;2120.3;0.277;0.21;2;LITHIC;5;121.5647;0.2645;2119.2;1.2064;4.689;0.295946;0.830277
JTB-182;2120.6;0.26;0.16;2;LITHIC;5;136.6646;0.2585;2172.4;1.2532;6.108;0.2793149;0.895726
JTB-182;2120.9;0.272;0.25;2;LITHIC;6;140.5686;0.2545;2221.9;1.3515;5.428;0.2404928;0.999996
JTB-182;2121.2;0.272;0.21;2;LITHIC;5;149.9033;0.2434;2295.7;1.5895;5.239;0.2204339;0.999995
JTB-182;2121.5;0.125;0.11;2;LITHIC;7;147.2045;0.2384;2270.6;1.9602;4.225;0.2180783;0.976654
JTB-182;2121.8;0.189;0.1;2;LITHIC;6;124.0921;0.2501;2257.6;2.4573;4.212;0.2300628;0.842185
JTB-182;2122.1;0.137;0.1;2;LITHIC;7;115.8412;0.2474;2262.5;2.8431;4.387;0.2313263;0.788177
JTB-182;2122.4;0.18;0.1;2;LITHIC;6;118.3381;0.2375;2260.5;2.9235;4.222;0.2261946;0.795108
JTB-182;2122.7;0.172;0.1;2;LITHIC;6;113.6719;0.2308;2276.5;2.9209;4.307;0.2238309;0.803412
JTB-182;2123;0.147;0.11;2;LITHIC;7;113.4882;0.2338;2290.2;2.9184;3.915;0.2171513;0.827604
JTB-182;2123.3;0.152;0.1;2;LITHIC;7;119.3847;0.2349;2302.6;2.9811;4.62;0.2137893;0.832566
JTB-182;2123.6;0.167;0.1;2;LITHIC;6;121.0467;0.2394;2302.3;3.0685;4.139;0.2146307;0.819109
JTB-182;2123.9;0.147;0.1;2;LITHIC;7;116.9766;0.2456;2314.1;3.1307;3.776;0.2138002;0.816026
JTB-182;2124.2;0.151;0.1;2;LITHIC;7;114.9729;0.2405;2331.7;3.17;4.142;0.1973527;0.877384
JTB-182;2124.5;0.169;0.1;2;LITHIC;6;115.285;0.2218;2342;3.1446;3.076;0.1851708;0.936579
JTB-182;2124.8;0.111;0.1;2;LITHIC;8;119.5233;0.2101;2335.7;3.0807;5.119;0.2025179;0.86459
JTB-184A;2068.3;0.067;0.03;5;ALTEREDLAVA;8;178.3512;0.0645;2516.6;48.225;35.6898;0.0700575;0.9999858
JTB-184A;2068.9;0.044;0.23;4;ALTEREDLAVA;11;191.7291;0.0912;2466.9;43.555;33.9653;0.09135;0.8498996
JTB-184A;2069.2;0.018;0.03;4;ALTEREDLAVA;12;187.6488;0.0918;2489.8;43.037;37.5605;0.0833282;0.9344494
JTB-184A;2069.5;0.014;0.06;4;ALTEREDLAVA;14;190.584;0.0851;2526.2;40.995;66.7199;0.0668895;0.999985
JTB-184A;2069.8;0.074;0.03;5;ALTEREDLAVA;8;194.1832;0.0798;2523.8;38.673;64.1712;0.0666467;0.999985
JTB-184A;2070.1;0.082;0.03;5;ALTEREDLAVA;8;184.2749;0.0747;2525.3;37.092;45.6694;0.0687762;0.9999855
JTB-184A;2070.4;0.09;0.03;5;ALTEREDLAVA;7;188.4525;0.0741;2530.2;34.255;55.7627;0.0659909;0.9999849
JTB-184A;2070.7;0.099;0.02;5;ALTEREDLAVA;6;196.2587;0.0728;2539.9;35.317;63.7864;0.0610364;0.9999836
JTB-184A;2071;0.081;0.05;5;ALTEREDLAVA;8;191.5335;0.0695;2535.1;36.838;90.0764;0.0535637;0.9999813
JTB-184A;2071.3;0.1;0.03;5;ALTEREDLAVA;7;182.9922;0.0581;2556;43.628;23.1699;0.049537;0.9999798
JTB-184A;2071.6;0.084;0.04;5;ALTEREDLAVA;8;189.5445;0.0618;2556.9;41.375;90.4622;0.0553235;0.9999819
JTB-184A;2071.9;0.064;0.03;5;ALTEREDLAVA;8;192.6192;0.0725;2526.7;43.267;3.6866;0.062506;0.999984
